name,price,rating,latitude,longitude,station,distance
Best Bagel & Coffee,$,4.5,,,34 ST-PENN STA,210.7617658311607
Friedman's,$$,4.0,,,34 ST-PENN STA,233.38494954977654
The Cinnamon Snail,$$,4.0,,,34 ST-PENN STA,77.01778624746386
Stumptown Coffee Roasters,$$,4.5,,,34 ST-PENN STA,579.9161832330312
Go! Go! Curry!,$,4.0,,,34 ST-PENN STA,481.20857855420905
Stout NYC,$$,3.5,,,34 ST-PENN STA,115.09259805116146
Zen Ramen & Sushi,$$,4.5,,,34 ST-PENN STA,233.72876107381978
Soup Spot,$,4.5,,,34 ST-PENN STA,212.15600746663839
Cafe Hanamizuki,$$,4.0,,,34 ST-PENN STA,328.5317534231265
Krispy Kreme,$,4.0,,,34 ST-PENN STA,109.37462619737504
Beyond Sushi,$$,4.5,,,34 ST-PENN STA,308.73481908192537
The Pennsy,$$,3.5,,,34 ST-PENN STA,54.68952322004647
Stella 34 Trattoria,$$,3.5,,,34 ST-PENN STA,254.77326682732286
District Tap House,$$,4.0,,,34 ST-PENN STA,410.3520211834302
Balade - Your Way,$$,4.5,,,34 ST-PENN STA,303.27243190139353
Macaron Cafe,$$,3.5,,,34 ST-PENN STA,228.18111726181897
Broadway Bites,$$,4.0,,,34 ST-PENN STA,298.5520180980167
Madman Espresso,$$,4.0,,,34 ST-PENN STA,185.9497593385764
Juniper,$$,4.0,,,34 ST-PENN STA,240.34171822695413
Gaonnuri,$$$,3.5,,,34 ST-PENN STA,402.60262657125514
Non Solo Piada,$,5.0,,,34 ST-PENN STA,432.3392539688232
Pennsylvania 6 NYC,$$,4.0,,,34 ST-PENN STA,224.31368265088534
Waldy's Wood Fired Pizza & Penne,$$,4.0,,,34 ST-PENN STA,513.4089915121987
VLife,$$,4.0,,,34 ST-PENN STA,296.298078306376
Black Iron Burger,$$,4.0,,,34 ST-PENN STA,430.15567209280283
Asura Asian Bistro,$$,3.5,,,34 ST-PENN STA,209.08616131252992
District Social,$$,4.0,,,34 ST-PENN STA,365.29467868175226
OCabanon,$$,4.0,,,34 ST-PENN STA,346.9180640511883
The Breslin,$$$,3.5,,,34 ST-PENN STA,585.361891932416
Rose's Pizza,$,3.5,,,34 ST-PENN STA,135.71697514304992
Made by Pauline,$$,5.0,,,34 ST-PENN STA,136.1537536910852
Tracks Raw Bar & Grill,$$,4.0,,,34 ST-PENN STA,207.0699886416315
The Skylark,$$$,4.0,,,34 ST-PENN STA,469.2664062317456
Gregorys Coffee,$$,4.0,,,34 ST-PENN STA,340.4566085410132
Shake Shack,$$,4.0,,,34 ST-PENN STA,256.60662327868636
Feile,$$,3.5,,,34 ST-PENN STA,124.18938939168271
Bonchon Chicken - NYC 38th St,$$,3.5,,,34 ST-PENN STA,412.1383509478614
Seven Grams Caffe,$,4.5,,,34 ST-PENN STA,595.4285337564781
Jack Doyle's Bar & Restaurant,$$,3.5,,,34 ST-PENN STA,206.76183158721702
Ramini Espresso Bar & Cafe,$,4.5,,,34 ST-PENN STA,428.39740618607124
On Now Lounge,$$,4.5,,,34 ST-PENN STA,42.28882919737647
Luna Coffee Shop,$,4.5,,,34 ST-PENN STA,349.8396279076967
Kobeyaki,$$,4.0,,,34 ST-PENN STA,510.90715314712406
Little Italy Pizza,$,4.0,,,34 ST-PENN STA,15.0530963768514
Ben's Kosher Delicatessen Restaurant & Caterers,$$,3.5,,,34 ST-PENN STA,416.41480698163247
1986 Est. Wine Bar & Lounge,$$,4.0,,,34 ST-PENN STA,384.89947820406405
Delmonico's Kitchen,$$$,3.5,,,34 ST-PENN STA,260.7621899492197
Casa Nonna,$$$,4.0,,,34 ST-PENN STA,534.6450245626049
Bombay Sandwich Co.,$$,4.5,,,34 ST-PENN STA,164.37662733669657
Blarney Rock Pub,$$,3.5,,,34 ST-PENN STA,100.29877604480252
Grand Central Terminal,,4.5,,,GRD CNTRL-42 ST,116.19490621773356
Sushi Yasuda,$$$$,4.0,,,GRD CNTRL-42 ST,290.92927702684386
Num Pang Kitchen,$,4.0,,,GRD CNTRL-42 ST,166.95770301011999
Momosan Ramen & Sake,$$,4.0,,,GRD CNTRL-42 ST,211.69175785836205
Benjamin Steakhouse,$$$$,4.0,,,GRD CNTRL-42 ST,177.92438612475758
The Campbell Bar,$$$,4.0,,,GRD CNTRL-42 ST,108.68317854664679
The Capital Grille,$$$,4.0,,,GRD CNTRL-42 ST,178.69968048425412
Café Zaiya,$,4.0,,,GRD CNTRL-42 ST,307.58191550400795
Grand Central Oyster Bar,$$$,3.5,,,GRD CNTRL-42 ST,123.95525806718462
Previti Pizza,$,4.0,,,GRD CNTRL-42 ST,93.31499232860494
Urbanspace Vanderbilt,$$,4.0,,,GRD CNTRL-42 ST,317.2326399257092
Sons of Thunder,$$,4.5,,,GRD CNTRL-42 ST,444.2594215675594
Park Avenue Tavern,$$,4.0,,,GRD CNTRL-42 ST,223.32605147016196
VITAE,$$$,4.0,,,GRD CNTRL-42 ST,448.02979642845474
Udon West,$$,4.0,,,GRD CNTRL-42 ST,337.6891460816871
Chrysler Building,,4.5,,,GRD CNTRL-42 ST,126.70602280581606
Shake Shack,$$,3.5,,,GRD CNTRL-42 ST,137.00497719513936
Zengo,$$$,3.5,,,GRD CNTRL-42 ST,253.21727424887587
Sinigual,$$,3.5,,,GRD CNTRL-42 ST,220.6713396867581
Luke's Lobster Midtown East,$$,4.0,,,GRD CNTRL-42 ST,304.1694091347867
Katsu-Hama,$$,4.0,,,GRD CNTRL-42 ST,523.1918176591378
Naya,$$,4.0,,,GRD CNTRL-42 ST,233.44687261894185
Nirvana,$$,3.5,,,GRD CNTRL-42 ST,200.94396331306442
CoCo Fresh Tea & Juice,$,4.0,,,GRD CNTRL-42 ST,270.41114499661234
Sarge's Delicatessen & Diner,$$,4.0,,,GRD CNTRL-42 ST,495.4968401725487
Pershing Square Cafe,$$,3.0,,,GRD CNTRL-42 ST,78.72955170736864
2Beans,$$,4.0,,,GRD CNTRL-42 ST,184.2267098894865
Whispering Gallery,,4.5,,,GRD CNTRL-42 ST,111.38801924995074
Raines Law Room at the William,$$,4.0,,,GRD CNTRL-42 ST,321.8116668973556
Lucid Café,$,4.5,,,GRD CNTRL-42 ST,350.79417489335685
Perk Kafe,$,4.5,,,GRD CNTRL-42 ST,446.32720866280494
La Biblioteca,$$,3.5,,,GRD CNTRL-42 ST,248.23673353279264
Tommy Bahama Restaurant | Bar | Store - New York,$$$,4.0,,,GRD CNTRL-42 ST,447.8703834461568
Pokéworks,$$,4.0,,,GRD CNTRL-42 ST,77.83637371862801
Benjamin Prime,$$$$,4.5,,,GRD CNTRL-42 ST,254.78993449301538
Cipriani Le Specialita,$$,4.0,,,GRD CNTRL-42 ST,31.091163616220246
Great Northern Food Hall,$$,4.0,,,GRD CNTRL-42 ST,110.04504865850339
Davio's Northern Italian Steakhouse,$$$,4.0,,,GRD CNTRL-42 ST,246.08153790749762
Shake Shack,$$,4.0,,,GRD CNTRL-42 ST,281.3604051197187
Kajitsu,$$$$,4.0,,,GRD CNTRL-42 ST,225.25039987811795
The Shakespeare,$$,4.0,,,GRD CNTRL-42 ST,309.0060240788604
Chicken Provence,$$,4.0,,,GRD CNTRL-42 ST,320.4859344953267
Darbar Fine Indian Cuisine,$$,4.0,,,GRD CNTRL-42 ST,335.760080772755
Delmonico NYC,$,4.0,,,GRD CNTRL-42 ST,102.70238310013464
Bierhaus NYC,$$,3.5,,,GRD CNTRL-42 ST,299.7445200180206
Dig Inn,$$,4.0,,,GRD CNTRL-42 ST,289.0553577837219
Agern,$$$$,4.0,,,GRD CNTRL-42 ST,134.37626212990986
Roti Modern Mediterranean,$,4.0,,,GRD CNTRL-42 ST,185.44187787868944
Tonkatsu Matsunoya,$$,4.0,,,GRD CNTRL-42 ST,283.61293232960287
Peter Dillon's,$,4.0,,,GRD CNTRL-42 ST,204.63272978200254
Izakaya MEW,$$,4.0,,,34 ST-HERALD SQ,136.78789475234535
Keens Steakhouse,$$$$,4.0,,,34 ST-HERALD SQ,155.41861379124944
Best Bagel & Coffee,$,4.5,,,34 ST-HERALD SQ,394.8524613225134
Grace Street,$$,4.0,,,34 ST-HERALD SQ,232.7501776291356
Woorijip Authentic Korean Food,$,4.0,,,34 ST-HERALD SQ,279.80809930508093
Empire State Building,,4.0,,,34 ST-HERALD SQ,230.48707653356408
Turntable Chicken Jazz,$$,4.0,,,34 ST-HERALD SQ,208.8802597417964
Pokéworks,$$,4.0,,,34 ST-HERALD SQ,264.9157721543095
Barn Joo 35,$$,4.0,,,34 ST-HERALD SQ,169.6811187044522
Jongro BBQ,$$,4.0,,,34 ST-HERALD SQ,254.41280672605208
Friedman's,$$,4.0,,,34 ST-HERALD SQ,285.78540077465846
BCD Tofu House,$$,4.0,,,34 ST-HERALD SQ,279.9260249417052
CajunSea & Oyster Bar,$$,4.0,,,34 ST-HERALD SQ,170.14856661314872
Stumptown Coffee Roasters,$$,4.5,,,34 ST-HERALD SQ,451.20279191917257
Cho Dang Gol Korean Restaurant,$$,4.0,,,34 ST-HERALD SQ,138.29125912899494
AYZA Wine & Chocolate Bar,$$,4.0,,,34 ST-HERALD SQ,290.7588003383203
Culture Espresso,$$,4.0,,,34 ST-HERALD SQ,325.48199818066627
Five Senses,$$,4.0,,,34 ST-HERALD SQ,270.42351980205945
Calle Dao - Bryant Park,$$,4.0,,,34 ST-HERALD SQ,406.60963266721006
Stella 34 Trattoria,$$,3.5,,,34 ST-HERALD SQ,75.75742667450966
Pocha 32,$$,3.5,,,34 ST-HERALD SQ,254.71789605669952
Broadway Bites,$$,4.0,,,34 ST-HERALD SQ,83.19342156924652
Trademark Taste & Grind,$$,4.5,,,34 ST-HERALD SQ,206.52100250593446
Hangawi,$$$,4.0,,,34 ST-HERALD SQ,425.2680120367428
New Wonjo Restaurant,$$,3.5,,,34 ST-HERALD SQ,225.75625459240982
Zen Ramen & Sushi,$$,4.5,,,34 ST-HERALD SQ,247.2359203261349
Parker & Quinn,$$,4.0,,,34 ST-HERALD SQ,398.704161869241
Her Name Is Han,$$,4.0,,,34 ST-HERALD SQ,463.08003389457707
Chick-fil-A,$,4.0,,,34 ST-HERALD SQ,269.68836688746217
Paris Baguette,$$,4.0,,,34 ST-HERALD SQ,296.91629601784877
Miss KOREA BBQ,$$,3.5,,,34 ST-HERALD SQ,281.4863729137471
Gaonnuri,$$$,3.5,,,34 ST-HERALD SQ,222.70364459679564
The Kati Roll Company,$,4.0,,,34 ST-HERALD SQ,437.07695070644775
Food Gallery 32,$,3.5,,,34 ST-HERALD SQ,259.09711476192984
Kang Ho Dong Baekjeong,$$$,4.0,,,34 ST-HERALD SQ,358.3268063063238
The Picnic Basket,$,4.0,,,34 ST-HERALD SQ,267.44569816930635
Petit Poulet,$$,4.0,,,34 ST-HERALD SQ,120.50825942851876
Stout NYC,$$,3.5,,,34 ST-HERALD SQ,173.00938485703554
Beyond Sushi,$$,4.5,,,34 ST-HERALD SQ,299.71911047135274
Dons Bogam BBQ & Wine Bar,$$$,4.0,,,34 ST-HERALD SQ,430.07701007433735
KazuNori  | The Original Hand Roll Bar,$$,4.5,,,34 ST-HERALD SQ,496.4157934225965
MADANGSUI,$$,3.5,,,34 ST-HERALD SQ,183.88606326720233
Spot Dessert Bar,$$,3.5,,,34 ST-HERALD SQ,260.75671834108226
Tous Les Jours,$,3.5,,,34 ST-HERALD SQ,220.45442892532108
Abiko Curry,$$,4.0,,,34 ST-HERALD SQ,288.6049904513467
Besfren,$$,4.0,,,34 ST-HERALD SQ,369.0622657252531
The Breslin,$$$,3.5,,,34 ST-HERALD SQ,446.76626150971555
TONCHIN NEW YORK,$$,4.5,,,34 ST-HERALD SQ,289.16068313342663
Balade - Your Way,$$,4.5,,,34 ST-HERALD SQ,311.89036848291823
E-Mo,$,4.0,,,34 ST-HERALD SQ,311.44722312012846
Doughnut Plant,$$,4.0,,,23 ST,93.16590961314948
Burger & Lobster,$$,4.0,,,23 ST,476.602209874834
La Maison du Macaron,$$,4.0,,,23 ST,159.20955736932126
Brooklyn Bagel & Coffee Company,$,4.0,,,23 ST,287.3917568104944
Johny's Luncheonette,$,4.0,,,23 ST,222.6395702228874
Excellent Dumpling House,$$,4.0,,,23 ST,53.08972690254673
Seven Grams Caffe,$,4.5,,,23 ST,205.60034073976158
Cafeteria,$$,3.5,,,23 ST,440.58568973494397
Terri,$$,4.0,,,23 ST,335.53608483748206
Momoya,$$$,4.0,,,23 ST,173.58950423848393
Boqueria Spanish Tapas - Flatiron,$$$,4.0,,,23 ST,441.915596836601
Asuka Sushi,$$,4.0,,,23 ST,305.6187988662888
By Chloe,$$,4.0,,,23 ST,328.93610124802325
Café Grumpy,$$,4.0,,,23 ST,285.03110198431006
Smithfield Hall,$$,4.0,,,23 ST,196.95851802661144
Murray's Bagels,$,3.5,,,23 ST,251.35138961746583
Foragers Table,$$,4.0,,,23 ST,293.91535073957203
Kobeyaki,$$,4.0,,,23 ST,290.3111916059277
BXL Zoute,$$,4.0,,,23 ST,363.8193081415441
Barcade,$$,3.5,,,23 ST,98.02002803980946
El Quijote,$$$,3.5,,,23 ST,134.38237244062142
Momofuku Nishi,$$,4.0,,,23 ST,266.8909583798956
Grimaldi's,$$,3.5,,,23 ST,351.54344759407087
Elmo,$$,3.5,,,23 ST,281.97263618638414
The Trailer Park Lounge,$$,3.5,,,23 ST,228.64386140871207
Zagara Ristorante Italiano,$$,4.0,,,23 ST,45.460113683780946
One Star,$,4.5,,,23 ST,144.3572818782883
Bite,$,4.0,,,23 ST,327.0063542509166
Flatiron Lounge,$$$,4.0,,,23 ST,495.74192353411826
Perpetuum Cafe,$,4.5,,,23 ST,221.08930486359355
RARE Bar & Grill,$$,3.5,,,23 ST,236.3603879931517
Sala One Nine,$$,4.0,,,23 ST,513.7583314876343
Malibu Diner,$$,3.5,,,23 ST,63.49725446161323
Le Zie,$$,3.5,,,23 ST,210.39926094956365
Rin Thai,$$,3.5,,,23 ST,213.1470620767717
B&B Restaurant Corporation,$,4.5,,,23 ST,266.8227136091309
Lucky's Famous Burgers,$$,3.5,,,23 ST,237.4306375037258
Telegraphe Cafe,$,4.0,,,23 ST,443.97727476316146
Bella Napoli,$,3.5,,,23 ST,140.06904919450506
DAVIDsTEA,$$,4.5,,,23 ST,299.6839998203172
Markt,$$,3.5,,,23 ST,334.37826394744013
Vivi Bubble Tea,$,3.5,,,23 ST,54.992426041935055
Great Burrito,$,4.0,,,23 ST,249.6319282242454
Hana Sushi,$$,3.5,,,23 ST,70.93587023867339
Blossom Du Jour,$$,3.5,,,23 ST,190.55495220017502
Bean & Bean,$$,4.0,,,23 ST,328.1372453531601
Argo Tea Café,$,3.5,,,23 ST,208.1588667777671
Milanes Spanish Restaurant,$,4.0,,,23 ST,150.13722765563958
RARE View Rooftop Chelsea,$$,3.5,,,23 ST,228.1365558224339
Champignon,$$,3.5,,,23 ST,108.55110177161568
Shake Shack,$$,4.0,,,42 ST-PORT AUTH,131.30442902159982
Carmine's Italian Restaurant - Times Square,$$,4.0,,,42 ST-PORT AUTH,249.76269661144357
Junior's Cheesecake,$$,4.0,,,42 ST-PORT AUTH,280.58034143071086
Los Tacos No.1,$,4.5,,,42 ST-PORT AUTH,166.8341359390282
Bea,$$,4.0,,,42 ST-PORT AUTH,303.49217356698693
John's of Times Square,$$,3.5,,,42 ST-PORT AUTH,151.06568725813784
Schmackary's,$,4.0,,,42 ST-PORT AUTH,332.4344779885435
Go! Go! Curry!,$,4.0,,,42 ST-PORT AUTH,311.8764949929639
Gyu-Kaku Japanese BBQ,$$,4.0,,,42 ST-PORT AUTH,195.94577284209902
Trattoria Trecolori,$$,4.0,,,42 ST-PORT AUTH,376.9513496567127
Dafni Greek Taverna,$$,4.0,,,42 ST-PORT AUTH,119.40290312346924
Becco,$$$,3.5,,,42 ST-PORT AUTH,388.9734876098913
Green Symphony,$,4.0,,,42 ST-PORT AUTH,111.33651422773801
Patzeria Perfect Pizza,$,4.0,,,42 ST-PORT AUTH,345.33273187822596
Rudy's Bar & Grill,$,4.0,,,42 ST-PORT AUTH,348.96762682245975
Hakkasan,$$$$,3.5,,,42 ST-PORT AUTH,147.01394320352156
Frisson Espresso,$,4.5,,,42 ST-PORT AUTH,396.36905181104584
5 Napkin Burger,$$,3.5,,,42 ST-PORT AUTH,323.5353398974752
OBAO,$$,4.0,,,42 ST-PORT AUTH,388.71477261230024
Dallas BBQ,$$,3.0,,,42 ST-PORT AUTH,85.18305067894403
Red Poke,$$,4.5,,,42 ST-PORT AUTH,254.20283553763574
Dutch Freds,$$,4.5,,,42 ST-PORT AUTH,421.24484853591866
Schnippers,$$,3.5,,,42 ST-PORT AUTH,107.79882800178078
Amy's Bread,$,4.0,,,42 ST-PORT AUTH,434.66312917531616
Times Square,,3.5,,,42 ST-PORT AUTH,372.5903322803017
Shorty's,$$,4.0,,,42 ST-PORT AUTH,251.38725296653257
Dim Sum Palace,$$,4.0,,,42 ST-PORT AUTH,322.83264198503355
Pulperia Hell's Kitchen,$$$,4.5,,,42 ST-PORT AUTH,405.2666156052788
City Kitchen,$$,4.0,,,42 ST-PORT AUTH,197.14419299921843
Beer Culture,$$,4.0,,,42 ST-PORT AUTH,242.64496895530877
Réunion,$$,4.0,,,42 ST-PORT AUTH,292.13773667353524
Inakaya,$$$,3.5,,,42 ST-PORT AUTH,142.15819855377774
Room Service,$$,3.5,,,42 ST-PORT AUTH,495.5056976990444
Churrascaria Plataforma,$$$$,4.0,,,42 ST-PORT AUTH,544.1117323661863
District Tap House,$$,4.0,,,42 ST-PORT AUTH,369.1491300380888
Birdland Jazz Club,$$$,4.0,,,42 ST-PORT AUTH,184.660638141817
Patzeria Family & Friends,$$,4.5,,,42 ST-PORT AUTH,498.3141027329842
Marseille,$$$,4.0,,,42 ST-PORT AUTH,310.32777823857754
Hourglass Tavern,$$,4.0,,,42 ST-PORT AUTH,408.249199506764
Sushi of Gari 46,$$$$,4.0,,,42 ST-PORT AUTH,380.1273199443179
Haru Sushi,$$,3.5,,,42 ST-PORT AUTH,196.24078747343287
Turco Mediterranean Grill,$,4.0,,,42 ST-PORT AUTH,263.5147850065618
Bareburger,$$,4.0,,,42 ST-PORT AUTH,365.16066792984935
Etcetera Etcetera,$$$,4.0,,,42 ST-PORT AUTH,247.10873029212524
At Nine Restaurant & Bar,$$,4.0,,,42 ST-PORT AUTH,249.67057102595638
The Skylark,$$$,4.0,,,42 ST-PORT AUTH,340.7019038254093
Samba Kitchen,$$,4.5,,,42 ST-PORT AUTH,418.5350365803101
Black Iron Burger,$$,4.0,,,42 ST-PORT AUTH,349.1271599429122
City Sandwich,$$,4.0,,,42 ST-PORT AUTH,392.2413525135203
The Hummus & Pita,$,4.0,,,42 ST-PORT AUTH,198.8340081413318
Club A Steakhouse,$$$,4.5,,,59 ST,340.47807068357963
Daniel,$$$$,4.5,,,59 ST,473.29201491282356
Little Collins,$$,4.5,,,59 ST,323.8839184187736
TAO Uptown,$$$,3.5,,,59 ST,288.8943762903325
My Pie,$,4.5,,,59 ST,225.69589460571365
Serendipity 3,$$,3.0,,,59 ST,268.4989728232366
Alice's Tea Cup Chapter II,$$,3.5,,,59 ST,339.1172301641731
Forty Carrots,$$,4.0,,,59 ST,78.1450528881342
Le Botaniste,$$,4.5,,,59 ST,321.7341188977214
The Bar Room,$$,4.0,,,59 ST,106.24597017791312
Omar's Mediterranean East Midtown,$$,4.5,,,59 ST,426.6395253070167
Amali,$$$,4.0,,,59 ST,111.17777514311382
Hillstone Restaurant,$$$,4.0,,,59 ST,482.5686044617323
Pizza By Certé,$,4.0,,,59 ST,300.2844228069169
Birch Coffee,$$,4.5,,,59 ST,187.22580045011316
Felidia,$$$$,4.0,,,59 ST,340.5679706416109
Chola,$$,4.0,,,59 ST,316.63805863049333
Tony Dragon's Grille,$,4.5,,,59 ST,370.9567242268078
Scalinatella Restaurant,$$$$,4.0,,,59 ST,217.5411509305368
P.J. Clarke's,$$,3.5,,,59 ST,401.5858506327718
Lips,$$,4.0,,,59 ST,367.25920642296336
BLT Steak,$$$$,4.0,,,59 ST,250.55810449299702
Darbar Grill,$$,4.0,,,59 ST,359.72670351796734
Nare Sushi,$$,4.0,,,59 ST,199.4119313880182
